"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","804.80","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","810.84","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","841.43","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","872.24","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","908.26","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","915.58","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","929.32","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","956.00","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","974.46","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1007.64","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1042.28","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1080.06","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1086.98","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1102.79","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1123.93","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1143.99","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1160.48","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1169.10","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1219.43","","","","2"
