"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","834.84","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","851.48","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","878.63","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","925.23","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","932.43","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","957.98","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","989.45","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1002.94","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1038.07","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1038.61","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1066.20","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1100.78","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1134.74","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1139.20","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1130.01","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1181.70","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1214.04","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1209.13","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1236.99","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1257.13","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1253.76","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1278.24","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1313.42","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1417.76","","","","2"
