"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","634.41","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","634.99","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","657.42","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","680.33","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","699.16","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","727.41","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","740.28","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","759.22","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","792.08","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","815.45","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","839.65","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","867.93","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","907.83","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","921.49","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","952.53","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","971.92","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","993.48","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","1003.98","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","1024.47","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","1049.91","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","1058.00","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","1092.20","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","1139.61","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","1205.10","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Current dollars","75","units","0","v1063665273","7.3.2.1.3.3","1234.24","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","838.00","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","777.52","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","895.83","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","948.14","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1011.80","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1034.46","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1057.86","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1114.24","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1105.24","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1191.62","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1204.95","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1199.95","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1261.72","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1282.65","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1325.40","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1429.17","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1479.97","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1490.85","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1557.85","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1621.12","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1662.97","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1664.33","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1726.96","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1809.75","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","25 to 54 years","Current dollars","75","units","0","v1063665285","7.3.2.2.3.3","1864.36","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1092.80","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","978.78","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1158.78","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1129.03","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1374.60","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1470.83","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1392.19","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1569.05","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1532.72","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1707.29","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1533.91","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1648.35","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1598.01","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1658.63","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1658.56","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","2029.88","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","2267.35","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1700.23","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","1946.45","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","2371.70","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","2028.17","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","2383.68","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","2045.73","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","2413.99","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1063665297","7.3.2.3.3.3","2275.96","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","908.46","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","857.88","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","964.59","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1013.79","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1122.39","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1160.75","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1163.26","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1232.08","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1229.37","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1337.70","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1319.53","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1391.77","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1366.81","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1389.14","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1433.85","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1574.32","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1579.52","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1643.48","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1659.87","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1723.62","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1779.73","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1772.92","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1848.72","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1928.70","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","25 to 54 years","Current dollars","75","units","0","v1063665309","7.3.2.4.3.3","1998.68","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","670.07","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","586.79","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","704.65","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","764.03","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","763.56","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","761.33","","","","2"
