"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","622.22","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","610.75","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","620.75","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","648.51","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","665.72","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","669.63","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","708.49","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","748.63","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","766.87","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","814.00","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","815.19","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","885.70","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","890.68","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","918.78","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","941.25","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","949.10","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","971.10","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","973.62","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1017.25","","","","2"
